Probability of Winning
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
results/game48.truth,  20.0,   1.4,  25.9,   2.4,  41.3,   1.1,   0.0,   0.0,   1.0,   2.2,   2.9,

Probability of Losing
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
results/game00.truth,   0.4,   4.4,   0.4,   0.5,   1.4,   0.6,   2.6,  76.5,   7.6,   1.6,   0.0,
results/game01.truth,   0.5,   5.2,   0.3,   0.1,   2.7,   0.6,   3.4,  76.1,   7.4,   0.7,   0.0,
results/game02.truth,   0.3,   5.2,   0.2,   0.6,   1.8,   0.7,   2.1,  76.6,   7.3,   1.0,   0.0,
results/game03.truth,   0.4,   5.6,   0.2,   0.5,   0.9,   0.4,   3.6,  75.5,   7.4,   1.0,   0.0,
results/game04.truth,   0.2,   6.2,   0.0,   0.2,   0.8,   0.7,   2.3,  78.6,   6.1,   1.0,   0.0,
results/game05.truth,   0.8,   7.0,   0.1,   0.4,   1.4,   0.4,   3.2,  74.4,   6.8,   1.2,   0.0,
results/game06.truth,   0.3,   5.8,   0.1,   0.4,   1.8,   0.9,   4.6,  72.1,   9.1,   0.8,   0.0,
results/game07.truth,   0.5,   6.2,   0.2,   0.2,   1.6,   0.3,   2.6,  76.4,   6.7,   1.2,   0.0,
results/game08.truth,   0.4,   9.6,   0.3,   0.1,   2.1,   1.3,   4.3,  68.4,   7.0,   1.8,   0.0,
results/game09.truth,   1.3,   8.3,   0.5,   0.2,   0.7,   1.7,   3.4,  74.4,   5.2,   1.8,   0.0,
results/game10.truth,   1.5,   9.7,   0.4,   0.0,   1.6,   1.7,   3.6,  69.7,   6.1,   2.4,   0.0,
results/game11.truth,   0.9,   8.7,   0.1,   0.2,   1.0,   1.0,   3.9,  72.3,   6.4,   2.0,   0.0,
results/game12.truth,   1.1,   8.9,   0.2,   0.1,   1.2,   1.3,   4.3,  71.6,   6.0,   2.2,   0.0,
results/game13.truth,   0.8,   8.7,   0.1,   0.0,   2.0,   0.4,   6.5,  69.7,   6.7,   2.2,   0.0,
results/game14.truth,   1.5,   8.2,   0.2,   0.0,   1.3,   0.2,   5.0,  70.9,   7.0,   1.8,   0.0,
results/game15.truth,   1.1,   7.9,   0.0,   0.1,   1.1,   0.6,   5.1,  71.2,   5.8,   3.1,   0.0,
results/game16.truth,   1.5,   8.5,   0.1,   0.1,   2.2,   0.4,   5.0,  71.5,   3.6,   3.8,   0.0,
