Probability of Winning
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
Round 2 Game 2: Duke defeats Yale,   15.7000,    4.8100,   22.2900,    2.9800,   38.4200,    0.8500,    0.6400,    0.0100,    3.6500,    4.2800,    2.8700,
Round 2 Game 3: Indiana defeats Kentucky,   23.6300,    5.2100,   17.6800,    2.4600,   37.0200,    1.5400,    1.6000,    0.0000,    1.6200,    4.1900,    1.2100,
Round 2 Game 4: Iowa State defeats Arkansas-Little Rock,   23.3000,    4.6900,   18.2500,    2.9200,   36.3600,    1.4800,    1.5200,    0.0000,    1.8300,    4.6400,    1.3700,
Round 2 Game 5: Virginia defeats Butler,   25.7700,    4.7300,   15.9500,    2.6900,   40.4300,    1.2600,    0.1800,    0.0200,    0.5100,    3.6700,    1.5700,
Round 2 Game 6: Kansas defeats Connecticut,   27.9700,    3.8000,   17.5500,    2.2000,   37.7200,    1.1800,    0.2500,    0.0000,    0.5700,    4.0500,    1.5700,
Round 2 Game 7: Gonzaga defeats Utah,   23.0800,    5.0900,   22.3900,    2.1400,   36.4400,    0.5300,    0.5100,    0.0000,    0.7400,    2.3600,    2.8500,
Round 2 Game 8: North Carolina defeats Providence,   24.3700,    5.2200,   22.5200,    1.8500,   36.4100,    0.4100,    0.3600,    0.0000,    0.6300,    2.1400,    2.7700,
Round 2 Game 9: Villanova defeats Iowa,   19.9500,    2.9600,   25.9300,    2.1500,   39.6900,    0.6900,    0.2900,    0.0000,    0.5400,    2.2400,    2.4500,
Round 2 Game 10: Notre Dame defeats Stephen F. Austin,   20.0900,    2.3800,   25.1600,    2.0000,   40.8800,    0.4100,    0.4800,    0.0000,    0.9000,    2.5000,    2.2900,
Round 2 Game 11: Oklahoma defeats Virginia Commonwealth,   19.2200,    2.1100,   27.0000,    1.9200,   40.4200,    0.5800,    0.3600,    0.0000,    0.5700,    2.1800,    2.5700,
Round 2 Game 12: Syracuse defeats Middle Tennessee,   19.9700,    1.8300,   25.7600,    1.7700,   41.5700,    0.5300,    0.4000,    0.0000,    0.6600,    2.1700,    2.3100,
Round 2 Game 13: Maryland defeats Hawaii,   19.3200,    1.8100,   26.4500,    2.2100,   41.6300,    0.6900,    0.3700,    0.0000,    0.6200,    2.1000,    2.3400,
Round 2 Game 14: Texas A&M defeats Northern Iowa,   18.6800,    2.4200,   25.6000,    1.8200,   42.5900,    0.4800,    0.0000,    0.0000,    0.7400,    2.3900,    2.2300,
Round 2 Game 15: Wisconsin defeats Xavier,   19.1300,    1.8300,   27.2500,    1.3800,   41.9000,    1.4500,    0.0000,    0.0000,    1.3600,    1.8400,    2.2900,
Round 2 Game 16: Oregon defeats Saint Joseph's,   21.5300,    2.1600,   24.8100,    1.9200,   40.6400,    1.1800,    0.0000,    0.0000,    0.6500,    1.7100,    3.6100,

Probability of Losing
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
initial   ,    0.5700,    5.6600,    0.2500,    0.3500,    1.5700,    0.3900,    3.1100,   74.9700,    8.2000,    0.9200,    0.0100,
