Probability of Winning
,David's Dazzling Bracket,Don's Dribbling Problem,Dunk's SpaceX Bracket,Ellie's Exciting Bracket,One Ball Two Holes,Gregory's Groovy Bracket,JB's Majestic Bracket,My Swag Bracket,Terry's Great Trump Bracket,Jake's Trueskill + MCTS,Amit's Awesome Bracket,My Optimal Bracket,Raj arshi's Swag Bracket,Matt's Bracket,
Round 1 Game 27: Texas A&M defeats Green Bay,     1,     1,     1,     6,     1,     1,     1,     1,     2,     1,     1,     8,     1,     1,
Round 1 Game 28: Oregon defeats Holy Cross,     1,     1,     1,     6,     1,     1,     1,     1,     2,     1,     1,     8,     1,     1,
Round 1 Game 29: Xavier defeats Weber State,     1,     1,     1,     6,     1,     1,     1,     1,     2,     1,     1,     8,     1,     1,
Round 1 Game 30: Northern Iowa defeats Texas,     1,     1,     1,     6,     1,     1,     1,     1,     2,     1,     1,     8,     1,     1,
Round 1 Game 31: Notre Dame defeats Michigan,     1,     1,     1,     6,     1,     1,     1,     1,     2,     2,     1,     9,     1,     1,
Round 1 Game 32: Saint Joseph's defeats Cincinnati,     1,     1,     1,     6,     1,     1,     1,     1,     2,     3,     1,     8,     1,     1,
Round 2 Game 1: Miami (FL) defeats Wichita State,     1,     1,     1,     6,     1,     1,     1,     1,     2,     2,     1,     8,     1,     1,
Round 2 Game 2: Duke defeats Yale,     1,     1,     1,     6,     1,     1,     1,     1,     2,     3,     1,     8,     1,     1,
Round 2 Game 3: Indiana defeats Kentucky,     1,     1,     1,     6,     1,     1,     1,     1,     2,     2,     1,     7,     1,     1,
Round 2 Game 4: Iowa State defeats Arkansas-Little Rock,     1,     1,     1,     6,     1,     1,     1,     1,     2,     3,     1,     8,     1,     1,
Round 2 Game 5: Virginia defeats Butler,     1,     1,     1,     6,     1,     1,     1,     1,     2,     3,     1,     8,     1,     1,
Round 2 Game 6: Kansas defeats Connecticut,     1,     1,     1,     6,     1,     1,     1,     1,     2,     2,     1,     8,     1,     1,
Round 2 Game 7: Gonzaga defeats Utah,     1,     1,     1,     6,     1,     1,     1,     1,     2,     3,     1,     8,     1,     2,
Round 2 Game 8: North Carolina defeats Providence,     1,     1,     1,     6,     1,     1,     1,     1,     2,     3,     1,     8,     1,     2,
Round 2 Game 9: Villanova defeats Iowa,     1,     1,     1,     6,     1,     1,     1,     1,     2,     3,     1,     9,     1,     2,
Round 2 Game 10: Notre Dame defeats Stephen F. Austin,     1,     1,     1,     7,     1,     1,     1,     1,     2,     3,     1,     9,     1,     2,
Round 2 Game 11: Oklahoma defeats Virginia Commonwealth,     1,     1,     1,     7,     1,     1,     1,     1,     2,     3,     1,    10,     1,     2,
Round 2 Game 12: Syracuse defeats Middle Tennessee,     1,     1,     1,     7,     1,     1,     1,     1,     2,     3,     1,    10,     1,     2,
Round 2 Game 13: Maryland defeats Hawaii,     1,     1,     1,     7,     1,     1,     1,     1,     2,     3,     1,    10,     1,     2,
Round 2 Game 14: Texas A&M defeats Northern Iowa,     1,     1,     1,     7,     1,     1,     1,     1,     2,     3,     1,    10,     1,     2,
Round 2 Game 15: Wisconsin defeats Xavier,     1,     1,     1,     7,     1,     1,     1,     1,     2,     4,     1,    10,     1,     2,
Round 2 Game 16: Oregon defeats Saint Joseph's,     1,     1,     1,     7,     1,     1,     1,     1,     2,     4,     1,    10,     1,     2,

Worst Finish
,David's Dazzling Bracket,Don's Dribbling Problem,Dunk's SpaceX Bracket,Ellie's Exciting Bracket,One Ball Two Holes,Gregory's Groovy Bracket,JB's Majestic Bracket,My Swag Bracket,Terry's Great Trump Bracket,Jake's Trueskill + MCTS,Amit's Awesome Bracket,My Optimal Bracket,Raj arshi's Swag Bracket,Matt's Bracket,
initial   ,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,
Round 1 Game 1: Duke defeats North Carolina-Wilmington,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,
Round 1 Game 2: Butler defeats Texas Tech,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,
Round 1 Game 3: Connecticut defeats Colorado,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,
Round 1 Game 4: Iowa State defeats Iona,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,
Round 1 Game 5: Yale defeats Baylor,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,
Round 1 Game 6: Virginia defeats Hampton,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,
Round 1 Game 7: Kansas defeats Austin Peay,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,
Round 1 Game 8: Arkansas-Little Rock defeats Purdue,    12,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,
Round 1 Game 9: Miami (FL) defeats Buffalo,    12,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,
Round 1 Game 10: Indiana defeats Chattanooga,    12,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,
Round 1 Game 11: North Carolina defeats Florida Gulf Coast,    11,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,
Round 1 Game 12: Utah defeats Fresno State,    12,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,
Round 1 Game 13: Wichita State defeats Arizona,    10,    14,    14,    14,    14,    13,    14,    14,    14,    14,    14,    14,    14,    14,
Round 1 Game 14: Kentucky defeats Stony Brook,    10,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,
Round 1 Game 15: Providence defeats Southern California,    11,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,    14,
Round 1 Game 16: Gonzaga defeats Seton Hall,    11,    14,    14,    14,    14,    13,    14,    14,    14,    14,    14,    14,    14,    14,
Round 1 Game 17: Syracuse defeats Dayton,    10,    13,    14,    14,    14,    12,    14,    14,    14,    14,    14,    14,    14,    14,
Round 1 Game 18: Villanova defeats North Carolina-Asheville,    10,    13,    14,    14,    14,    12,    14,    14,    14,    14,    14,    14,    14,    14,
Round 1 Game 19: Virginia Commonwealth defeats Oregon State,    11,    13,    14,    14,    14,    12,    14,    14,    14,    14,    14,    14,    14,    14,
Round 1 Game 20: Hawaii defeats California,    10,    11,    14,    14,    14,    10,    14,    14,    14,    14,    14,    14,    14,    14,
Round 1 Game 21: Middle Tennessee defeats Michigan State,    10,    11,    14,    14,    14,     9,    14,    14,    13,    14,    13,    14,    14,    14,
Round 1 Game 22: Iowa defeats Temple,    10,    12,    14,    14,    14,     9,    14,    14,    12,    14,    12,    14,    14,    14,
Round 1 Game 23: Oklahoma defeats Cal State Bakersfield,    10,    12,    14,    14,    14,     9,    14,    14,    12,    14,    13,    14,    14,    14,
Round 1 Game 24: Maryland defeats South Dakota State,    10,    12,    14,    14,    14,     8,    14,    14,    12,    14,    13,    14,    14,    14,
Round 1 Game 25: Wisconsin defeats Pittsburgh,    10,    11,    14,    14,    14,     8,    14,    14,    12,    14,    13,    14,    14,    14,
Round 1 Game 26: Stephen F. Austin defeats West Virginia,    11,    11,    14,    14,    14,    10,    14,    14,    12,    14,     9,    14,    14,    14,
Round 1 Game 27: Texas A&M defeats Green Bay,    10,    12,    14,    14,    14,     9,    14,    14,    12,    14,     9,    14,    14,    14,
Round 1 Game 28: Oregon defeats Holy Cross,    11,    11,    14,    14,    14,     9,    14,    14,    12,    14,    10,    14,    14,    14,
Round 1 Game 29: Xavier defeats Weber State,    10,    11,    14,    14,    14,     9,    14,    14,    12,    14,    10,    14,    14,    14,
Round 1 Game 30: Northern Iowa defeats Texas,    10,    11,    14,    14,    14,    10,    14,    14,    12,    14,     9,    14,    14,    13,
Round 1 Game 31: Notre Dame defeats Michigan,    11,    11,    14,    14,    14,    10,    14,    14,    12,    14,    10,    14,    14,    13,
Round 1 Game 32: Saint Joseph's defeats Cincinnati,    11,    11,    14,    14,    14,    10,    14,    14,    12,    14,    10,    14,    14,    13,
Round 2 Game 1: Miami (FL) defeats Wichita State,    10,    11,    14,    14,    14,    10,    14,    14,    12,    14,     9,    14,    14,    13,
Round 2 Game 2: Duke defeats Yale,    10,    11,    14,    14,    14,     9,    14,    14,    12,    14,    10,    14,    14,    13,
Round 2 Game 3: Indiana defeats Kentucky,    10,    11,    14,    14,    13,     9,    14,    14,    12,    14,     8,    14,    14,    13,
Round 2 Game 4: Iowa State defeats Arkansas-Little Rock,     9,    11,    14,    14,    13,     9,    14,    14,    12,    14,     9,    14,    14,    13,
Round 2 Game 5: Virginia defeats Butler,    10,    11,    14,    14,    14,     9,    14,    14,    12,    14,     7,    14,    14,    13,
Round 2 Game 6: Kansas defeats Connecticut,    10,    11,    14,    14,    14,     9,    14,    14,    12,    14,     8,    14,    14,    13,
Round 2 Game 7: Gonzaga defeats Utah,    10,     9,    14,    14,    12,     7,    14,    14,    12,    14,     6,    14,    13,    13,
Round 2 Game 8: North Carolina defeats Providence,    10,     9,    14,    14,    12,     7,    14,    14,    12,    14,     6,    14,    13,    13,
Round 2 Game 9: Villanova defeats Iowa,    10,     9,    14,    14,    12,     7,    14,    14,    12,    14,     6,    14,    13,    13,
Round 2 Game 10: Notre Dame defeats Stephen F. Austin,    10,     9,    14,    14,    11,     7,    14,    14,    12,    14,     6,    14,    13,    13,
Round 2 Game 11: Oklahoma defeats Virginia Commonwealth,    10,     9,    14,    14,    11,     7,    14,    14,    12,    14,     6,    14,    13,    13,
Round 2 Game 12: Syracuse defeats Middle Tennessee,    10,     9,    14,    14,    11,     7,    14,    14,    12,    14,     6,    14,    13,    13,
Round 2 Game 13: Maryland defeats Hawaii,    10,     9,    14,    14,    11,     7,    14,    14,    12,    14,     6,    14,    12,    13,
Round 2 Game 14: Texas A&M defeats Northern Iowa,     9,     9,    14,    14,    11,     7,    14,    14,    12,    14,     6,    14,    12,    13,
Round 2 Game 15: Wisconsin defeats Xavier,     9,     9,    14,    14,    11,     7,    14,    12,    11,    14,     6,    14,    12,    12,
Round 2 Game 16: Oregon defeats Saint Joseph's,     9,     9,    14,    14,    11,     7,    14,    12,    11,    14,     6,    14,    12,    12,

Min Score
,David's Dazzling Bracket,Don's Dribbling Problem,Dunk's SpaceX Bracket,Ellie's Exciting Bracket,One Ball Two Holes,Gregory's Groovy Bracket,JB's Majestic Bracket,My Swag Bracket,Terry's Great Trump Bracket,Jake's Trueskill + MCTS,Amit's Awesome Bracket,My Optimal Bracket,Raj arshi's Swag Bracket,Matt's Bracket,
initial   ,    39,    37,    29,    36,    30,    34,    33,    29,    35,    29,    26,    27,    29,    35,
Round 1 Game 1: Duke defeats North Carolina-Wilmington,    37,    34,    33,    31,    33,    29,    33,    32,    39,    25,    33,    29,    23,    35,
Round 1 Game 2: Butler defeats Texas Tech,    36,    34,    31,    34,    36,    37,    39,    29,    39,    24,    32,    28,    27,    32,
Round 1 Game 3: Connecticut defeats Colorado,    39,    36,    29,    34,    35,    37,    36,    32,    39,    26,    31,    28,    30,    33,
Round 1 Game 4: Iowa State defeats Iona,    36,    30,    29,    32,    35,    37,    32,    29,    38,    24,    32,    29,    32,    29,
Round 1 Game 5: Yale defeats Baylor,    46,    44,    27,    35,    38,    47,    36,    39,    40,    29,    41,    28,    27,    31,
Round 1 Game 6: Virginia defeats Hampton,    45,    42,    31,    36,    33,    47,    34,    40,    40,    31,    40,    24,    27,    35,
Round 1 Game 7: Kansas defeats Austin Peay,    44,    46,    34,    37,    32,    45,    37,    36,    38,    28,    39,    29,    31,    38,
Round 1 Game 8: Arkansas-Little Rock defeats Purdue,    50,    35,    31,    32,    31,    42,    34,    34,    35,    24,    40,    26,    27,    30,
Round 1 Game 9: Miami (FL) defeats Buffalo,    51,    42,    33,    31,    34,    47,    32,    37,    40,    27,    36,    26,    29,    34,
Round 1 Game 10: Indiana defeats Chattanooga,    53,    46,    30,    34,    34,    45,    31,    41,    36,    24,    35,    26,    27,    33,
Round 1 Game 11: North Carolina defeats Florida Gulf Coast,    53,    43,    27,    32,    33,    43,    35,    37,    40,    26,    39,    27,    21,    31,
Round 1 Game 12: Utah defeats Fresno State,    54,    39,    30,    32,    32,    43,    36,    39,    36,    28,    37,    24,    24,    32,
Round 1 Game 13: Wichita State defeats Arizona,    60,    38,    35,    33,    39,    52,    32,    38,    35,    26,    44,    26,    36,    28,
Round 1 Game 14: Kentucky defeats Stony Brook,    62,    39,    36,    29,    42,    50,    34,    38,    33,    23,    46,    24,    33,    28,
Round 1 Game 15: Providence defeats Southern California,    61,    38,    36,    27,    36,    52,    30,    38,    38,    26,    45,    28,    37,    31,
Round 1 Game 16: Gonzaga defeats Seton Hall,    61,    48,    38,    30,    43,    58,    38,    42,    44,    26,    54,    25,    44,    35,
Round 1 Game 17: Syracuse defeats Dayton,    62,    47,    39,    32,    45,    54,    43,    42,    45,    23,    52,    25,    45,    39,
Round 1 Game 18: Villanova defeats North Carolina-Asheville,    67,    49,    39,    31,    45,    55,    42,    43,    43,    23,    55,    27,    45,    42,
Round 1 Game 19: Virginia Commonwealth defeats Oregon State,    63,    54,    38,    33,    44,    58,    42,    42,    47,    24,    58,    25,    44,    42,
Round 1 Game 20: Hawaii defeats California,    64,    62,    39,    30,    46,    71,    42,    43,    42,    32,    56,    24,    57,    43,
Round 1 Game 21: Middle Tennessee defeats Michigan State,    60,    58,    35,    27,    42,    69,    40,    40,    40,    31,    52,    20,    54,    36,
Round 1 Game 22: Iowa defeats Temple,    58,    58,    33,    27,    41,    68,    40,    37,    40,    28,    55,    23,    54,    36,
Round 1 Game 23: Oklahoma defeats Cal State Bakersfield,    60,    59,    38,    31,    42,    66,    42,    40,    45,    33,    54,    22,    56,    39,
Round 1 Game 24: Maryland defeats South Dakota State,    63,    59,    39,    29,    40,    65,    36,    40,    44,    34,    53,    21,    57,    38,
Round 1 Game 25: Wisconsin defeats Pittsburgh,    57,    58,    38,    31,    42,    67,    40,    40,    45,    34,    55,    22,    56,    38,
Round 1 Game 26: Stephen F. Austin defeats West Virginia,    59,    52,    37,    28,    41,    64,    37,    39,    41,    27,    69,    23,    58,    35,
Round 1 Game 27: Texas A&M defeats Green Bay,    59,    58,    38,    30,    42,    65,    37,    39,    44,    32,    67,    24,    55,    38,
Round 1 Game 28: Oregon defeats Holy Cross,    58,    57,    35,    29,    44,    68,    37,    39,    43,    30,    65,    23,    56,    37,
Round 1 Game 29: Xavier defeats Weber State,    57,    56,    35,    26,    41,    65,    41,    41,    43,    30,    66,    24,    57,    35,
Round 1 Game 30: Northern Iowa defeats Texas,    60,    61,    37,    35,    45,    65,    39,    38,    43,    32,    67,    23,    57,    44,
Round 1 Game 31: Notre Dame defeats Michigan,    60,    62,    37,    36,    50,    64,    40,    39,    44,    32,    65,    24,    55,    43,
Round 1 Game 32: Saint Joseph's defeats Cincinnati,    56,    64,    37,    34,    48,    68,    38,    42,    40,    30,    65,    27,    53,    41,
Round 2 Game 1: Miami (FL) defeats Wichita State,    58,    62,    35,    32,    46,    64,    38,    44,    42,    30,    65,    25,    53,    41,
Round 2 Game 2: Duke defeats Yale,    60,    60,    37,    34,    42,    64,    40,    44,    44,    30,    63,    25,    51,    43,
Round 2 Game 3: Indiana defeats Kentucky,    60,    60,    40,    34,    49,    64,    38,    44,    44,    30,    66,    28,    53,    43,
Round 2 Game 4: Iowa State defeats Arkansas-Little Rock,    58,    62,    38,    32,    49,    62,    38,    42,    42,    30,    66,    28,    55,    41,
Round 2 Game 5: Virginia defeats Butler,    60,    64,    40,    34,    51,    66,    42,    46,    44,    34,    68,    30,    53,    43,
Round 2 Game 6: Kansas defeats Connecticut,    66,    66,    44,    38,    53,    68,    44,    48,    48,    36,    70,    32,    57,    49,
Round 2 Game 7: Gonzaga defeats Utah,    62,    74,    42,    36,    63,    78,    42,    48,    46,    36,    82,    30,    67,    45,
Round 2 Game 8: North Carolina defeats Providence,    64,    76,    42,    38,    65,    80,    44,    50,    48,    38,    82,    32,    67,    47,
Round 2 Game 9: Villanova defeats Iowa,    66,    78,    46,    40,    67,    82,    44,    50,    50,    38,    82,    34,    67,    49,
Round 2 Game 10: Notre Dame defeats Stephen F. Austin,    64,    76,    44,    38,    65,    82,    46,    50,    48,    38,    82,    36,    67,    47,
Round 2 Game 11: Oklahoma defeats Virginia Commonwealth,    66,    80,    48,    42,    67,    84,    48,    52,    52,    40,    84,    36,    69,    49,
Round 2 Game 12: Syracuse defeats Middle Tennessee,    66,    80,    46,    42,    67,    84,    48,    52,    52,    42,    86,    36,    69,    49,
Round 2 Game 13: Maryland defeats Hawaii,    66,    80,    48,    42,    67,    84,    48,    52,    52,    40,    84,    36,    71,    49,
Round 2 Game 14: Texas A&M defeats Northern Iowa,    68,    80,    48,    42,    69,    84,    48,    54,    52,    40,    84,    38,    71,    51,
Round 2 Game 15: Wisconsin defeats Xavier,    68,    80,    48,    42,    69,    84,    48,    61,    52,    40,    84,    45,    71,    51,
Round 2 Game 16: Oregon defeats Saint Joseph's,    70,    82,    50,    44,    71,    84,    50,    63,    54,    42,    86,    47,    73,    53,

Max Score
,David's Dazzling Bracket,Don's Dribbling Problem,Dunk's SpaceX Bracket,Ellie's Exciting Bracket,One Ball Two Holes,Gregory's Groovy Bracket,JB's Majestic Bracket,My Swag Bracket,Terry's Great Trump Bracket,Jake's Trueskill + MCTS,Amit's Awesome Bracket,My Optimal Bracket,Raj arshi's Swag Bracket,Matt's Bracket,
initial   ,   212,   221,   193,   203,   198,   226,   208,   188,   193,   205,   262,   194,   224,   192,
Round 1 Game 1: Duke defeats North Carolina-Wilmington,   218,   221,   193,   206,   217,   225,   199,   183,   196,   212,   256,   194,   222,   194,
Round 1 Game 2: Butler defeats Texas Tech,   212,   228,   195,   197,   195,   224,   204,   188,   194,   195,   270,   172,   230,   195,
Round 1 Game 3: Connecticut defeats Colorado,   213,   218,   195,   193,   213,   228,   203,   189,   193,   206,   272,   183,   234,   205,
Round 1 Game 4: Iowa State defeats Iona,   214,   214,   195,   194,   205,   226,   204,   192,   195,   189,   250,   183,   216,   196,
Round 1 Game 5: Yale defeats Baylor,   224,   220,   198,   191,   200,   234,   201,   194,   195,   197,   255,   187,   223,   193,
Round 1 Game 6: Virginia defeats Hampton,   214,   226,   194,   194,   200,   225,   208,   190,   201,   193,   254,   185,   218,   196,
Round 1 Game 7: Kansas defeats Austin Peay,   234,   237,   189,   194,   199,   221,   198,   197,   195,   199,   259,   180,   228,   191,
Round 1 Game 8: Arkansas-Little Rock defeats Purdue,   227,   214,   184,   188,   193,   220,   203,   195,   184,   192,   246,   175,   224,   200,
Round 1 Game 9: Miami (FL) defeats Buffalo,   219,   227,   184,   194,   208,   226,   195,   196,   193,   197,   245,   183,   254,   196,
Round 1 Game 10: Indiana defeats Chattanooga,   229,   228,   205,   203,   194,   231,   199,   195,   193,   197,   259,   198,   226,   195,
Round 1 Game 11: North Carolina defeats Florida Gulf Coast,   228,   213,   183,   196,   198,   231,   206,   193,   190,   190,   259,   177,   245,   198,
Round 1 Game 12: Utah defeats Fresno State,   220,   229,   192,   191,   195,   224,   215,   201,   191,   188,   256,   167,   216,   197,
Round 1 Game 13: Wichita State defeats Arizona,   233,   220,   189,   201,   208,   229,   204,   197,   196,   200,   265,   173,   252,   188,
Round 1 Game 14: Kentucky defeats Stony Brook,   216,   221,   188,   188,   209,   228,   206,   199,   190,   192,   267,   178,   222,   191,
Round 1 Game 15: Providence defeats Southern California,   226,   227,   193,   188,   204,   234,   198,   203,   185,   201,   266,   174,   218,   192,
Round 1 Game 16: Gonzaga defeats Seton Hall,   230,   219,   192,   189,   206,   229,   202,   196,   199,   195,   267,   178,   236,   190,
Round 1 Game 17: Syracuse defeats Dayton,   235,   227,   199,   191,   205,   234,   206,   195,   195,   184,   288,   191,   233,   192,
Round 1 Game 18: Villanova defeats North Carolina-Asheville,   230,   217,   190,   188,   206,   235,   203,   204,   192,   181,   260,   181,   232,   190,
Round 1 Game 19: Virginia Commonwealth defeats Oregon State,   229,   224,   191,   193,   204,   235,   207,   194,   195,   187,   286,   180,   229,   196,
Round 1 Game 20: Hawaii defeats California,   223,   233,   193,   189,   197,   241,   211,   191,   196,   191,   265,   110,   245,   189,
Round 1 Game 21: Middle Tennessee defeats Michigan State,   165,   171,   133,   126,   195,   234,   201,   181,   178,   167,   266,    79,   190,   180,
Round 1 Game 22: Iowa defeats Temple,   165,   163,   124,   123,   195,   234,   197,   189,   177,   181,   263,    79,   196,   179,
Round 1 Game 23: Oklahoma defeats Cal State Bakersfield,   168,   172,   128,   125,   212,   229,   205,   180,   184,   167,   260,    78,   196,   182,
Round 1 Game 24: Maryland defeats South Dakota State,   161,   164,   133,   121,   196,   224,   201,   181,   183,   174,   265,    77,   197,   174,
Round 1 Game 25: Wisconsin defeats Pittsburgh,   158,   166,   128,   123,   199,   227,   191,   184,   183,   168,   263,    79,   198,   178,
Round 1 Game 26: Stephen F. Austin defeats West Virginia,   153,   159,   136,   117,   196,   224,   201,   179,   175,   167,   266,    75,   192,   179,
Round 1 Game 27: Texas A&M defeats Green Bay,   149,   167,   129,   118,   195,   222,   204,   177,   174,   155,   275,    74,   187,   171,
Round 1 Game 28: Oregon defeats Holy Cross,   151,   163,   126,   118,   193,   220,   192,   178,   175,   155,   301,    75,   194,   175,
Round 1 Game 29: Xavier defeats Weber State,   151,   161,   125,   118,   195,   221,   198,   178,   175,   153,   270,    75,   196,   175,
Round 1 Game 30: Northern Iowa defeats Texas,   152,   165,   124,   118,   197,   218,   193,   184,   176,   150,   282,    74,   178,   175,
Round 1 Game 31: Notre Dame defeats Michigan,   148,   167,   119,   118,   206,   216,   194,   177,   176,   148,   267,    74,   193,   177,
Round 1 Game 32: Saint Joseph's defeats Cincinnati,   144,   165,   118,   116,   199,   212,   192,   181,   172,   146,   288,    74,   181,   173,
Round 2 Game 1: Miami (FL) defeats Wichita State,   146,   163,   120,   116,   187,   204,   196,   183,   174,   146,   257,    74,   158,   173,
Round 2 Game 2: Duke defeats Yale,   146,   155,   120,   116,   184,   204,   194,   179,   174,   146,   233,    74,   165,   177,
Round 2 Game 3: Indiana defeats Kentucky,   144,   153,   120,   114,   188,   202,   163,   179,   172,   146,   232,    74,   148,   175,
Round 2 Game 4: Iowa State defeats Arkansas-Little Rock,   144,   153,   120,   114,   196,   202,   165,   185,   172,   146,   242,    74,   148,   175,
Round 2 Game 5: Virginia defeats Butler,   144,   153,   120,   114,   189,   202,   165,   185,   172,   146,   244,    74,   148,   173,
Round 2 Game 6: Kansas defeats Connecticut,   144,   153,   120,   114,   189,   202,   162,   181,   172,   146,   244,    74,   144,   175,
Round 2 Game 7: Gonzaga defeats Utah,   142,   153,   118,   112,   192,   202,   152,   179,   170,   146,   246,    72,   148,   173,
Round 2 Game 8: North Carolina defeats Providence,   142,   153,   118,   112,   192,   202,   152,   185,   170,   146,   246,    72,   148,   169,
Round 2 Game 9: Villanova defeats Iowa,   142,   153,   118,   112,   194,   202,   152,   181,   170,   146,   238,    72,   143,   173,
Round 2 Game 10: Notre Dame defeats Stephen F. Austin,   142,   153,   118,   112,   196,   202,   152,   181,   170,   146,   208,    72,   143,   173,
Round 2 Game 11: Oklahoma defeats Virginia Commonwealth,   142,   153,   118,   112,   196,   202,   152,   185,   170,   146,   208,    72,   143,   173,
Round 2 Game 12: Syracuse defeats Middle Tennessee,   142,   153,   118,   112,   196,   202,   152,   185,   170,   146,   208,    72,   143,   173,
Round 2 Game 13: Maryland defeats Hawaii,   142,   153,   118,   112,   196,   202,   152,   185,   170,   146,   208,    72,   143,   173,
Round 2 Game 14: Texas A&M defeats Northern Iowa,   142,   153,   118,   112,   196,   202,   152,   185,   170,   146,   208,    72,   143,   173,
Round 2 Game 15: Wisconsin defeats Xavier,   140,   151,   112,   110,   161,   202,   146,   185,   168,   130,   206,    71,   137,   167,
Round 2 Game 16: Oregon defeats Saint Joseph's,   140,   151,   112,   110,   161,   202,   146,   185,   168,   130,   206,    71,   137,   167,
