Probability of Winning
,David's Dazzling Bracket,Don's Dribbling Problem,Dunk's SpaceX Bracket,Ellie's Exciting Bracket,One Ball Two Holes,Gregory's Groovy Bracket,JB's Majestic Bracket,My Swag Bracket,Terry's Great Trump Bracket,Jake's Trueskill + MCTS,Amit's Awesome Bracket,My Optimal Bracket,Raj arshi's Swag Bracket,Matt's Bracket,
,David's Dazzling Bracket,Don's Dribbling Problem,Dunk's SpaceX Bracket,Ellie's Exciting Bracket,One Ball Two Holes,Gregory's Groovy Bracket,JB's Majestic Bracket,My Swag Bracket,Terry's Great Trump Bracket,Jake's Trueskill + MCTS,Amit's Awesome Bracket,My Optimal Bracket,Raj arshi's Swag Bracket,Matt's Bracket,
s16g4.truth,     9,     9,    13,    13,    11,     5,    14,    11,    10,    14,     5,    14,    12,    12,
Round 3 Game 5A: North Carolina defeats Indiana,     9,     9,    13,    12,    11,     5,    14,    11,    10,    14,     5,    14,    12,    12,
Round 3 Game 5B: Indiana defeats North Carolina,     8,     8,    13,    13,     9,     4,    13,    11,    10,    13,     5,    14,    11,    12,
Round 3 Game 6A: Notre Dame defeats Wisconsin,     9,     9,    13,    13,    11,     5,    14,    11,    10,    14,     5,    14,    12,    12,
Round 3 Game 6B: Wisconsin defeats Notre Dame,     9,     9,    13,    13,    11,     5,    14,    11,    10,    14,     5,    14,    12,    12,
Round 3 Game 7A: Virginia defeats Iowa State,     9,     9,    13,    13,    11,     4,    14,    11,    10,    14,     5,    14,    12,    12,
Round 3 Game 7B: Iowa State defeats Virginia,     9,     9,    13,    13,    11,     5,    14,     8,    10,    14,     5,    14,    12,    12,
Round 3 Game 8A: Gonzaga defeats Syracuse,     9,     9,    13,    13,    11,     5,    14,    11,    10,    14,     4,    14,    12,    12,
Round 3 Game 8B: Syracuse defeats Gonzaga,     9,     9,    13,    13,    11,     5,    14,    11,    10,    14,     5,    14,    12,    12,

Min Score
,David's Dazzling Bracket,Don's Dribbling Problem,Dunk's SpaceX Bracket,Ellie's Exciting Bracket,One Ball Two Holes,Gregory's Groovy Bracket,JB's Majestic Bracket,My Swag Bracket,Terry's Great Trump Bracket,Jake's Trueskill + MCTS,Amit's Awesome Bracket,My Optimal Bracket,Raj arshi's Swag Bracket,Matt's Bracket,
s16g4.truth,    82,    98,    66,    60,    79,    96,    62,    71,    70,    58,    94,    51,    77,    65,
Round 3 Game 5A: North Carolina defeats Indiana,    86,   102,    70,    64,    83,   100,    62,    75,    74,    62,    98,    55,    77,    69,
Round 3 Game 5B: Indiana defeats North Carolina,    82,    98,    66,    60,    79,    96,    62,    71,    70,    58,    94,    51,    77,    65,
